"idnum","child_attend_kindergarten","povstatus","father_mothly_pretax_inc_w1","mother_mothly_pretax_inc_w1","father_mothly_saved_inc_w1","mother_mothly_saved_inc_w1","child_gender_w1","father_in_jail_w1","parents_edustatus_w1","cm1ethrace_w1","cf1ethrace_w1","marry_w1","cm1span_w1","cf1span_w1","cm1age_w1","cf1age_w1","c_neat_work_w3","c_curious_w3","c_interest_w3","f_youth_cor_w3","m_youth_cor_w3","f_quit_w4","m_quit_w4","father_fin_security_w234","mother_fin_security_w2345","hs_avg_score","child_edu_level","fparents_edustatus_w2345","mparents_edustatus_w2345"
1098,"yes","low-income",6,5,"Some","Some","Male","No","Neither parent attended college","black","black",NA,"No","No",24,26,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",3.5,"Some college, tech","Neither parent attended college","Neither parent attended college"
1099,"no","high-income",6,6,"Just enough","Just enough","Female","No","At least one parent attended college","black","black",NA,"No","No",26,31,NA,NA,"Not true",NA,NA,"no","no","Yes","Yes",NA,"Completed high school","At least one parent attended college","Neither parent attended college"
1100,"yes","high-income",NA,9,"Some","Some","Female","No","At least one parent attended college","black","black",NA,"No","No",32,31,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"At least one parent attended college","At least one parent attended college"
1101,"yes","low-income",5,4,NA,"Just enough","Female","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",21,23,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",NA,NA,"Neither parent attended college","At least one parent attended college"
1102,"yes","high-income",5,5,"Some","Some","Female","No","Neither parent attended college","black","black",NA,"No","No",19,22,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",3.25,"Completed college/grad","At least one parent attended college","Neither parent attended college"
1103,"yes","high-income",7,6,"Some","Some","Male","No","At least one parent attended college","black","black","Yes","No","No",20,20,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,"At least one parent attended college","Neither parent attended college"
1104,"yes","high-income",6,8,"Just enough","Just enough","Male","No","At least one parent attended college","black","black",NA,"No","No",23,39,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",1.25,"Some college, tech",NA,"At least one parent attended college"
1105,"yes","low-income",5,2,"Just enough","Just enough","Female","No","Neither parent attended college","black","black",NA,"No","No",27,25,NA,NA,"Not true",NA,NA,NA,NA,"Yes","No",NA,NA,"At least one parent attended college","Neither parent attended college"
1106,"yes","low-income",4,NA,"Just enough","Just enough","Female","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",28,29,NA,NA,"Very true or often true",NA,NA,NA,NA,"No","No",2.5,"Some college, tech","Neither parent attended college","Neither parent attended college"
1107,"yes","low-income",5,3,"Some","Just enough","Female","No","At least one parent attended college","hispanic","white",NA,"No","No",28,30,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",4,"Less than high school","At least one parent attended college","At least one parent attended college"
1108,"yes","low-income",2,2,"Just enough","Just enough","Male","Yes","Neither parent attended college","hispanic","hispanic",NA,"No","No",26,38,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",3,NA,NA,NA
1109,"yes","low-income",NA,NA,NA,"Some","Female","No","Neither parent attended college","black","black","Yes","No",NA,21,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2.66666666666667,"Some college, tech","At least one parent attended college","Neither parent attended college"
1110,"yes","high-income",6,8,"Some","Some","Male","No","At least one parent attended college","black","black","Yes","No","No",25,21,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",3.25,"Some college, tech","At least one parent attended college","At least one parent attended college"
1111,NA,"high-income",5,NA,"Some","Some","Female","No","Neither parent attended college","black","white",NA,"No","No",26,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1112,"yes","low-income",4,NA,"Not enough","Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",28,31,NA,NA,"Not true",NA,NA,NA,NA,"No","No",3.5,"Completed college/grad","Neither parent attended college","Neither parent attended college"
1113,"yes","high-income",6,NA,"Just enough","Just enough","Female","No","At least one parent attended college","white","white",NA,"No","No",25,26,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,"Some college, tech","Neither parent attended college","At least one parent attended college"
1114,"yes","low-income",4,NA,"Just enough","Just enough","Male","No","At least one parent attended college",NA,NA,NA,"No","No",31,28,NA,NA,"Not true",NA,NA,NA,NA,"No","No",4,NA,"Neither parent attended college","Neither parent attended college"
1115,"yes","high-income",7,5,"Some","Just enough","Male","No","At least one parent attended college",NA,NA,NA,"No","No",22,24,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",1.5,"Some college, tech","At least one parent attended college","At least one parent attended college"
1116,"yes","low-income",NA,1,NA,"Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"Yes",NA,23,NA,NA,NA,"Not true",NA,NA,NA,NA,NA,"Yes",3.5,"Completed high school",NA,"At least one parent attended college"
1117,"yes","high-income",5,6,"Some","Not enough","Female","No","At least one parent attended college","black","black","No","No","No",25,23,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",3.75,"Some college, tech","Neither parent attended college","Neither parent attended college"
1118,"yes","low-income",NA,5,"Just enough","Just enough","Male","No","Neither parent attended college",NA,"hispanic",NA,"No","No",20,21,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",3.75,NA,"At least one parent attended college","Neither parent attended college"
1119,"no","high-income",NA,NA,"Not enough","Some","Male","No","Neither parent attended college","hispanic","hispanic","Yes","Yes","Yes",38,28,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,"No","No",1.5,NA,NA,"Neither parent attended college"
1120,"yes","high-income",9,9,"Some","Some","Female","No","At least one parent attended college","black","black",NA,"No","No",37,53,NA,NA,"Not true",NA,NA,NA,NA,"No","No",3.75,"Some college, tech","At least one parent attended college","Neither parent attended college"
1121,"yes","low-income",5,7,"Just enough","Some","Male","No","Neither parent attended college","black","black",NA,"No","No",25,28,NA,NA,"Not true","no",NA,NA,NA,"Yes","No",2.75,"Completed high school","Neither parent attended college","Neither parent attended college"
1122,"yes","low-income",4,1,"Some","Not enough","Male","No","At least one parent attended college","black","hispanic",NA,"No","No",19,19,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",3.25,"Some college, tech","Neither parent attended college",NA
1123,"yes","high-income",9,9,"Some",NA,"Female","No","At least one parent attended college","white","white",NA,"No","No",31,31,"Very true or often true","Very true or often true","Not true",NA,NA,NA,NA,"Yes","Yes",3.75,"Some college, tech","At least one parent attended college","At least one parent attended college"
1124,"yes","high-income",5,5,"Just enough","Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",29,31,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",3.25,"Completed high school","Neither parent attended college","At least one parent attended college"
1125,"yes","low-income",NA,1,NA,"Just enough","Male","No","Neither parent attended college","black","black","Yes","No",NA,22,NA,NA,NA,NA,"no",NA,NA,NA,"Yes","Yes",3,"Some college, tech","Neither parent attended college","Neither parent attended college"
1126,"yes","high-income",6,2,"Just enough","Just enough","Male","No","At least one parent attended college","black","black","No","No","No",24,30,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",2.75,"Completed high school","At least one parent attended college","Neither parent attended college"
1127,NA,"low-income",NA,NA,NA,NA,"Female","No","Neither parent attended college",NA,NA,"Yes",NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1128,"yes","low-income",NA,3,NA,"Some","Female","No","Neither parent attended college","black","black","Yes","No",NA,19,NA,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",3.25,"Some college, tech","At least one parent attended college","At least one parent attended college"
1129,"no","low-income",NA,2,"Just enough","Not enough","Male","No","At least one parent attended college","black","black",NA,"No","No",28,28,NA,NA,"Not true",NA,NA,NA,"no",NA,"Yes",2.5,"Completed high school",NA,"Neither parent attended college"
1130,"yes","low-income",3,2,"Some","Not enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",19,28,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",3.5,"Some college, tech",NA,"Neither parent attended college"
1131,NA,"high-income",8,7,"Some","Some","Female","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",20,21,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",2,"Some college, tech","Neither parent attended college","At least one parent attended college"
1132,NA,"high-income",5,8,"Some","Not enough","Female","No","At least one parent attended college","white","hispanic",NA,"No","No",40,41,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"Neither parent attended college",NA
1133,"no","high-income",7,NA,"Just enough","Just enough","Female","No","Neither parent attended college","black","black",NA,"No","No",20,26,NA,NA,"Somewhat or sometimes true",NA,NA,NA,"yes","No","Yes",3,"Less than high school","Neither parent attended college","Neither parent attended college"
1134,"yes","low-income",NA,5,NA,"Some","Male","No","Neither parent attended college","black","black",NA,"No",NA,19,NA,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,NA,"Yes",4,"Less than high school",NA,NA
1135,"yes","low-income",5,1,"Just enough","Just enough","Female","No","Neither parent attended college","black","black","Yes","No","No",21,21,NA,NA,"Not true",NA,NA,NA,NA,"Yes","No",2.5,"Completed high school","At least one parent attended college","Neither parent attended college"
1136,"yes","low-income",NA,5,"Some","Some","Male","No","Neither parent attended college","black","black","Yes","No","No",19,22,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",NA,NA,NA,"At least one parent attended college"
1137,NA,"low-income",NA,2,NA,NA,"Female","No","Neither parent attended college","black","black","Yes",NA,NA,19,NA,"Somewhat or sometimes true","Very true or often true","Not true",NA,NA,NA,NA,NA,"No",NA,NA,NA,"Neither parent attended college"
1138,"yes","low-income",NA,6,NA,NA,"Female","No","Neither parent attended college","black","black",NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"Less than high school",NA,"Neither parent attended college"
1139,"yes","high-income",7,7,"Just enough","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",30,32,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",2.75,"Completed college/grad","Neither parent attended college","At least one parent attended college"
1140,"yes","low-income",NA,NA,"Just enough",NA,"Male","No","At least one parent attended college","hispanic",NA,NA,"No",NA,19,20,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",4,"Some college, tech","Neither parent attended college","At least one parent attended college"
1141,NA,"low-income",NA,NA,NA,"Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes",NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",3.75,"Some college, tech",NA,"At least one parent attended college"
1142,NA,"low-income",NA,1,NA,"Not enough","Female",NA,"Neither parent attended college","white",NA,NA,"No",NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Completed high school",NA,NA
1143,"yes","low-income",1,1,"Just enough","Some","Male","No","Neither parent attended college","black","black","Yes","No","No",18,17,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",2.5,"Completed high school","Neither parent attended college","At least one parent attended college"
1144,NA,"low-income",NA,NA,NA,NA,"Male","No","Neither parent attended college","black","black",NA,NA,"No",25,29,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,"Neither parent attended college",NA
1145,"no","low-income",8,1,"Some","Not enough","Male","No","Neither parent attended college","black",NA,NA,"No","No",20,20,NA,NA,NA,NA,NA,NA,NA,"No","No",2.66666666666667,NA,"At least one parent attended college","Neither parent attended college"
1146,"yes","low-income",5,5,"Just enough","Just enough","Female","No","At least one parent attended college","black","black",NA,"No","No",30,25,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,"Yes","Yes",NA,NA,"At least one parent attended college","Neither parent attended college"
1147,"no","low-income",NA,1,NA,"Not enough","Male",NA,"Neither parent attended college","black",NA,NA,"No",NA,24,NA,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",1.25,"Completed high school",NA,NA
1148,"yes","high-income",9,8,"Some","Some","Male","No","At least one parent attended college","black","black",NA,"No","No",36,45,NA,NA,NA,NA,NA,NA,NA,"Yes","No",3,NA,"At least one parent attended college","At least one parent attended college"
1149,"yes","high-income",7,1,"Just enough","Not enough","Male","No","Neither parent attended college","black","black","Yes","No","No",17,23,NA,NA,"Very true or often true",NA,NA,"no",NA,"No","Yes",2.5,"Completed high school","Neither parent attended college","Neither parent attended college"
1150,"yes","high-income",9,7,"Some","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",30,37,NA,NA,"Very true or often true",NA,NA,NA,NA,"Yes","Yes",2.33333333333333,NA,"At least one parent attended college","At least one parent attended college"
1151,"yes","high-income",8,8,"Just enough","Some","Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",18,19,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,"No","Yes",2.66666666666667,"Some college, tech","At least one parent attended college","Neither parent attended college"
1152,"yes","low-income",5,4,"Just enough","Just enough","Male","No","Neither parent attended college","white","white",NA,"No","No",19,22,NA,NA,"Very true or often true",NA,NA,NA,NA,"No","Yes",1.33333333333333,"Some college, tech","Neither parent attended college","At least one parent attended college"
1153,NA,"low-income",NA,NA,NA,"Some","Female","No","Neither parent attended college",NA,"black","Yes","No",NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1154,"yes","low-income",NA,2,NA,"Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"No",NA,21,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes",3.5,"Some college, tech",NA,"At least one parent attended college"
1155,"yes","low-income",NA,NA,"Just enough","Just enough","Male","No","At least one parent attended college","hispanic","hispanic",NA,"Yes","Yes",21,24,NA,NA,"Very true or often true",NA,NA,NA,NA,"No","No",3.5,"Completed college/grad","Neither parent attended college","Neither parent attended college"
1156,"yes","high-income",NA,6,NA,"Some","Male","No","At least one parent attended college","black","black","Yes","No",NA,30,NA,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",NA,"Less than high school","Neither parent attended college","At least one parent attended college"
1157,"no","high-income",9,8,"Just enough","Not enough","Male","No","At least one parent attended college","white","white",NA,"No","No",38,42,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",3.25,"Completed high school","At least one parent attended college","At least one parent attended college"
1158,"no","low-income",NA,1,NA,NA,"Female","No","Neither parent attended college","white","white",NA,"No",NA,19,NA,"Somewhat or sometimes true","Somewhat or sometimes true","Not true",NA,NA,NA,NA,NA,"Yes",2.25,NA,NA,"Neither parent attended college"
1159,"yes","high-income",9,9,"Some","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",28,29,NA,NA,"Not true",NA,NA,NA,NA,"No","No",4,"Completed college/grad","Neither parent attended college","Neither parent attended college"
1160,NA,"high-income",9,8,"Some","Just enough","Male","No","At least one parent attended college","black",NA,NA,"No","No",25,35,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"At least one parent attended college"
1161,"yes","low-income",NA,NA,NA,"Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"Yes",NA,35,NA,NA,NA,"Not true",NA,NA,NA,NA,"No","No",2.5,"Some college, tech","Neither parent attended college","Neither parent attended college"
1162,"yes","high-income",9,9,"Some","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",33,32,NA,NA,NA,NA,NA,"no","no","Yes","No",NA,NA,"At least one parent attended college","Neither parent attended college"
1163,"yes","low-income",NA,NA,NA,"Just enough","Female","No","Neither parent attended college","black","black",NA,"No",NA,22,NA,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",3.25,"Some college, tech",NA,"Neither parent attended college"
1164,"yes","high-income",9,9,"Some","Some","Female","No","At least one parent attended college","hispanic","white",NA,"No","No",36,37,NA,NA,NA,NA,NA,NA,NA,"No","No",3.25,"Some college, tech","At least one parent attended college","Neither parent attended college"
1165,NA,"low-income",NA,NA,NA,"Some","Female","No","At least one parent attended college","black","black",NA,"No",NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166,"no","high-income",8,7,"Some","Just enough","Female","No","Neither parent attended college","white","white",NA,"No","No",30,37,NA,NA,"Not true",NA,NA,NA,NA,"No","No",3.25,"Some college, tech","Neither parent attended college","Neither parent attended college"
1167,"no","high-income",8,2,"Some","Just enough","Male","No","Neither parent attended college","white","white","Yes","No","No",39,41,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",NA,NA,"Neither parent attended college","Neither parent attended college"
1168,"yes","high-income",NA,8,NA,"Some","Female","No","Neither parent attended college","black","black","No","No",NA,33,NA,NA,NA,"Not true",NA,NA,NA,NA,NA,"Yes",4,"Some college, tech",NA,"Neither parent attended college"
1169,"no","low-income",2,3,"Some","Just enough","Male","No","At least one parent attended college","white","hispanic",NA,"No","No",20,21,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",2.5,"Completed high school","Neither parent attended college","Neither parent attended college"
1170,"yes","low-income",NA,4,NA,"Some","Male","No","Neither parent attended college","black","black",NA,"No",NA,26,NA,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",NA,NA,"Neither parent attended college","Neither parent attended college"
1171,"yes","high-income",9,9,"Some","Some","Female","No","At least one parent attended college","white","hispanic",NA,"No","No",31,29,NA,NA,"Not true",NA,NA,NA,NA,"No","No",3.5,"Some college, tech","At least one parent attended college","At least one parent attended college"
1172,"yes","low-income",3,5,"Just enough","Some","Male","No","Neither parent attended college","white","black",NA,"No","No",20,21,NA,NA,NA,NA,NA,NA,NA,"No","Yes",3.5,NA,"Neither parent attended college","Neither parent attended college"
1173,"yes","low-income",2,NA,"Just enough","Just enough","Female","Yes","Neither parent attended college",NA,"black","Yes","No","No",19,19,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",3,"Some college, tech","At least one parent attended college","Neither parent attended college"
1174,"yes","low-income",NA,3,NA,"Some","Male","No","At least one parent attended college","black","black",NA,"No",NA,21,NA,NA,NA,NA,NA,NA,NA,NA,"No","Yes",2.25,"Completed high school","Neither parent attended college","Neither parent attended college"
1175,"no","low-income",3,2,"Some","Just enough","Male","No","Neither parent attended college","white","hispanic",NA,"No","No",25,23,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",1.5,"Less than high school","At least one parent attended college","Neither parent attended college"
1176,"yes","high-income",7,7,"Some","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",25,24,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",2.33333333333333,"Completed high school","At least one parent attended college","At least one parent attended college"
1177,"yes","low-income",NA,6,NA,"Just enough","Male","No","Neither parent attended college","black","black",NA,"No",NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,"Neither parent attended college"
1178,"yes","high-income",NA,1,"Not enough","Not enough","Female","No","Neither parent attended college","black","black",NA,"No","No",28,28,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",2.33333333333333,"Completed high school","Neither parent attended college","Neither parent attended college"
1179,"yes","low-income",NA,5,NA,"Just enough","Female","No","Neither parent attended college","black","black",NA,"No",NA,26,NA,NA,NA,"Not true",NA,NA,NA,NA,NA,"Yes",NA,"Less than high school",NA,"Neither parent attended college"
1180,"no","high-income",5,5,"Just enough",NA,"Male","No","At least one parent attended college","white","white",NA,"No","No",29,39,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"At least one parent attended college","Neither parent attended college"
1181,"yes","high-income",5,3,"Some","Just enough","Male","No","Neither parent attended college","black","black",NA,"No","No",24,24,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",3,"Completed high school","At least one parent attended college",NA
1182,"yes","high-income",9,9,"Some","Just enough","Female","No","At least one parent attended college","hispanic","hispanic","Yes","No","No",29,32,NA,NA,"Somewhat or sometimes true",NA,NA,NA,"no","No","No",2.25,"Some college, tech","At least one parent attended college","Neither parent attended college"
1183,"yes","high-income",NA,8,NA,"Just enough","Female","No","At least one parent attended college","black","black","Yes","No",NA,19,NA,NA,NA,"Not true",NA,NA,NA,NA,NA,"Yes",2.5,NA,NA,"Neither parent attended college"
1184,"yes","low-income",NA,NA,"Not enough",NA,"Female","No","Neither parent attended college","hispanic","hispanic",NA,NA,"Yes",22,37,"Very true or often true","Very true or often true","Not true",NA,NA,"yes",NA,"No","No",2.75,"Some college, tech","Neither parent attended college","Neither parent attended college"
1185,"yes","low-income",NA,NA,"Just enough","Not enough","Female","No","Neither parent attended college","black","black","Yes","No","No",27,38,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",NA,NA,"Neither parent attended college","At least one parent attended college"
1186,"yes","high-income",9,9,"Just enough",NA,"Female","No","At least one parent attended college","white","white",NA,"No","No",37,27,NA,NA,NA,NA,NA,NA,NA,"No","Yes",4,"Some college, tech","At least one parent attended college","At least one parent attended college"
1187,"no","high-income",9,9,"Some","Some","Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",33,33,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"Neither parent attended college"
1188,"yes","low-income",5,3,"Some","Just enough","Female","No","Neither parent attended college","black","black","No","No","No",19,19,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",2.75,"Some college, tech","Neither parent attended college","At least one parent attended college"
1189,"no","high-income",8,8,"Some","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",38,48,NA,NA,NA,NA,NA,NA,NA,"No","No",4,"Some college, tech","Neither parent attended college","Neither parent attended college"
1190,"yes","high-income",8,8,"Some","Some","Male","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",21,22,NA,NA,"Somewhat or sometimes true",NA,NA,"no",NA,"No","No",3.25,"Some college, tech","Neither parent attended college",NA
1191,"yes","low-income",3,1,"Just enough","Just enough","Female","No","Neither parent attended college","black","black",NA,"No","No",21,23,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",2.25,"Some college, tech","At least one parent attended college","Neither parent attended college"
1192,"yes","low-income",5,4,"Some",NA,"Male","No","Neither parent attended college","black","black",NA,NA,"No",28,26,NA,NA,NA,"yes","no","no",NA,"No","Yes",NA,NA,NA,"At least one parent attended college"
1193,"yes","high-income",NA,NA,"Just enough","Just enough","Female","No","At least one parent attended college","hispanic","hispanic","Yes","Yes","Yes",21,22,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",2.75,"Some college, tech","Neither parent attended college","At least one parent attended college"
1194,"yes","low-income",NA,NA,"Not enough","Not enough","Female","No","Neither parent attended college","black","black","Yes","Yes","No",18,20,NA,NA,"Somewhat or sometimes true","no",NA,NA,NA,"Yes","Yes",NA,"Less than high school","Neither parent attended college","Neither parent attended college"
1195,"yes","high-income",NA,NA,"Just enough",NA,"Female","No","At least one parent attended college","black","black","Yes","No","No",19,19,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",1.75,"Completed high school","Neither parent attended college","Neither parent attended college"
1196,"yes","low-income",3,2,NA,"Just enough","Male","No","At least one parent attended college","black","black",NA,"No","No",20,26,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",2.75,NA,"At least one parent attended college","Neither parent attended college"
1197,"yes","high-income",7,7,"Some","Not enough","Female","No","At least one parent attended college","black","hispanic",NA,"No","No",27,29,NA,NA,NA,NA,NA,NA,NA,"No","Yes",NA,NA,"Neither parent attended college","Neither parent attended college"
1198,"yes","high-income",7,9,"Just enough","Just enough","Male","No","Neither parent attended college","white","white",NA,"No","No",39,41,NA,NA,NA,NA,NA,NA,"no","No","No",1,"Less than high school",NA,"Neither parent attended college"
1199,"yes","high-income",9,9,"Some","Just enough","Male","No","At least one parent attended college",NA,NA,NA,"No","No",28,28,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,"Completed college/grad","At least one parent attended college","At least one parent attended college"
1200,"yes","high-income",5,NA,"Some","Just enough","Female","No","Neither parent attended college","black","black","Yes","No","No",22,20,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"At least one parent attended college"
1201,"no","high-income",NA,NA,"Just enough","Just enough","Male","No","Neither parent attended college","black","black",NA,"No","No",28,30,NA,NA,"Not true","no",NA,NA,"no","Yes","Yes",2,"Less than high school","Neither parent attended college","Neither parent attended college"
1202,"yes","low-income",NA,1,NA,"Not enough","Female",NA,"Neither parent attended college","black","black",NA,"No",NA,20,NA,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",3.33333333333333,"Completed high school",NA,"At least one parent attended college"
1203,"no","low-income",3,1,"Some","Some","Female","No","Neither parent attended college","black","black",NA,"No","No",31,30,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",3.25,"Completed high school","Neither parent attended college","Neither parent attended college"
1204,"no","low-income",NA,5,"Some","Some","Female","No","Neither parent attended college","hispanic","hispanic","Yes","No","No",21,26,NA,NA,"Not true",NA,NA,NA,"no","Yes","Yes",3.75,"Completed high school","Neither parent attended college",NA
1205,"yes","low-income",9,6,"Some","Just enough","Male","No","At least one parent attended college","black","black",NA,"No","No",32,33,NA,NA,"Somewhat or sometimes true",NA,NA,NA,NA,"Yes","No",NA,NA,"Neither parent attended college",NA
1206,"yes","high-income",NA,NA,NA,"Just enough","Female","No","At least one parent attended college","black","black","Yes","No",NA,40,NA,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",NA,"Some college, tech","Neither parent attended college","Neither parent attended college"
1207,"yes","high-income",NA,2,"Just enough","Some","Female","No","At least one parent attended college","black","black","No","No","No",25,31,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",1.75,"Some college, tech","At least one parent attended college","At least one parent attended college"
1208,"yes","high-income",4,5,"Not enough","Just enough","Female","No","Neither parent attended college",NA,"black",NA,"No","No",38,31,NA,NA,"Not true","no",NA,NA,NA,"Yes","Yes",3.25,"Some college, tech","Neither parent attended college","Neither parent attended college"
1209,"yes","high-income",NA,3,"Some","Just enough","Male","No","At least one parent attended college","black","black","No","No","No",32,37,NA,NA,"Not true",NA,NA,NA,NA,"No","Yes",2.5,"Completed high school","Neither parent attended college","At least one parent attended college"
1210,"yes","high-income",3,8,"Just enough","Some","Male","No","At least one parent attended college","black","black","Yes","No","No",23,24,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",3,"Some college, tech","Neither parent attended college","At least one parent attended college"
1211,"no","low-income",5,2,"Just enough","Just enough","Female","No","Neither parent attended college","white","white",NA,"No","No",22,22,NA,NA,"Not true",NA,NA,"no",NA,"No","Yes",2,"Completed high school",NA,"Neither parent attended college"
1212,"yes","low-income",1,2,"Not enough",NA,"Male","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",21,28,"Somewhat or sometimes true","Very true or often true","Not true",NA,NA,"no",NA,"Yes","Yes",2.5,"Less than high school","Neither parent attended college","Neither parent attended college"
1213,"yes","high-income",NA,5,"Some","Just enough","Female","No","At least one parent attended college","black","hispanic","Yes","No","No",20,21,NA,NA,"Not true",NA,NA,NA,NA,"Yes","Yes",3,"Some college, tech","At least one parent attended college","At least one parent attended college"
1214,"yes","high-income",8,7,"Just enough",NA,"Female","No","Neither parent attended college","black","black",NA,"No","No",23,24,NA,NA,NA,NA,NA,NA,NA,"No","No",2.75,NA,"At least one parent attended college","Neither parent attended college"
1215,"yes","high-income",NA,NA,NA,"Just enough","Female","No","Neither parent attended college","black","black",NA,"No",NA,25,NA,NA,NA,"Not true",NA,NA,NA,NA,NA,"Yes",2.75,"Completed high school",NA,"Neither parent attended college"
1216,"no","low-income",NA,4,NA,"Some","Male","No","Neither parent attended college","white","white",NA,"No",NA,23,NA,NA,NA,NA,NA,NA,NA,NA,"No","No",NA,NA,"At least one parent attended college","At least one parent attended college"
1217,"no","low-income",5,2,"Just enough","Some","Male","Yes","Neither parent attended college","black","black","No","No","No",18,21,NA,NA,"Not true",NA,NA,NA,"no",NA,"Yes",2.25,"Completed high school",NA,"Neither parent attended college"
