"idnum","father_mothly_pretax_inc_w1","mother_mothly_pretax_inc_w1","father_mothly_saved_inc_w1","mother_mothly_saved_inc_w1","child_gender_w1","father_in_jail_w1","parents_edustatus_w1","cm1ethrace_w1","cf1ethrace_w1","marry_w1","cm1span_w1","cf1span_w1","cm1age_w1","cf1age_w1"
"0440",2,2,"Just enough","Some","Male","No","Neither parent attended college","black","black",NA,"No","No",19,24
"0441",NA,NA,"Some","Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",29,28
"0442",NA,9,NA,"Some","Female","No","At least one parent attended college","black","black",NA,"No",NA,22,NA
"0443",7,6,"Just enough","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",42,47
"0444",NA,NA,NA,NA,"Female","No","Neither parent attended college",NA,"black",NA,NA,NA,33,NA
"0445",5,NA,"Just enough","Just enough","Female","No","At least one parent attended college","white","white",NA,"No","No",32,32
"0446",8,8,"Just enough",NA,"Male","No","At least one parent attended college","white","white",NA,NA,"No",26,28
"0447",NA,6,NA,"Some","Female","No","At least one parent attended college","black","black","No","No",NA,33,NA
"0448",6,2,"Just enough","Just enough","Female","No","At least one parent attended college",NA,NA,NA,"No","No",21,23
"0449",NA,1,NA,"Not enough","Male","Yes","At least one parent attended college","white","hispanic","No","No",NA,21,NA
"0450",2,1,"Just enough","Some","Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",19,21
"0451",3,NA,"Just enough","Just enough","Female","No","Neither parent attended college","black","black","Yes","No","No",17,18
"0452",8,8,"Some","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",43,46
"0453",6,5,"Just enough","Not enough","Female","No","Neither parent attended college","black","black","Yes","No","No",34,33
"0454",9,8,"Some","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",27,28
"0455",9,6,"Some","Some","Female","No","Neither parent attended college","black","black",NA,"No","No",18,20
"0456",6,NA,"Some",NA,"Male","No","At least one parent attended college","hispanic","hispanic","Yes","Yes","Yes",18,23
"0457",7,3,"Just enough","Some","Male","No","At least one parent attended college","black","black","No","No","No",31,42
"0458",9,6,"Some","Just enough","Female","No","At least one parent attended college","black","black","No","No","No",22,18
"0459",NA,NA,"Some","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",25,30
"0460",4,NA,"Just enough","Not enough","Female","No","Neither parent attended college","black","black","Yes","No","No",21,26
"0461",NA,9,NA,"Some","Male","No","At least one parent attended college","white","white",NA,"No",NA,34,NA
"0462",NA,NA,NA,"Just enough","Male","No","Neither parent attended college","hispanic",NA,NA,"No",NA,43,NA
"0463",NA,NA,"Just enough",NA,"Male","No","At least one parent attended college","black","black",NA,NA,"No",22,21
"0464",3,NA,"Just enough",NA,"Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",18,27
"0465",4,3,"Just enough","Some","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",20,19
"0466",8,8,"Some","Some","Male","No","At least one parent attended college","black","black",NA,"No","No",30,40
"0467",NA,1,"Some","Not enough","Female","No","Neither parent attended college",NA,"hispanic",NA,"No","No",20,24
"0468",7,7,"Some","Some","Male","No","Neither parent attended college","white","white",NA,"No","No",32,38
"0469",NA,1,"Just enough","Some","Male","No","Neither parent attended college","black","black",NA,"No","No",21,24
"0470",NA,1,NA,NA,"Female","No","At least one parent attended college","white","hispanic",NA,"No",NA,30,NA
"0471",2,2,"Some","Some","Male","No","Neither parent attended college","white","white",NA,"No","No",21,22
"0472",6,2,"Some","Just enough","Male","No","At least one parent attended college","hispanic","black",NA,"No","No",22,24
"0473",9,9,"Some","Some","Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",29,28
"0474",NA,3,"Some","Not enough","Female","No","At least one parent attended college","white","black","No","No","No",26,36
"0475",NA,NA,NA,"Not enough","Male","No","Neither parent attended college","black","black",NA,"No",NA,24,NA
"0476",7,7,"Just enough","Some","Female","No","Neither parent attended college","white","white",NA,"No","No",18,21
"0477",NA,NA,NA,NA,"Female","No","Neither parent attended college",NA,NA,NA,NA,NA,19,NA
"0478",6,NA,"Just enough","Not enough","Female","No","Neither parent attended college","black","black","Yes","No","No",20,23
"0479",6,1,"Not enough","Not enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",18,24
"0480",8,5,"Some","Just enough","Male","No","At least one parent attended college","hispanic","black",NA,"No","No",33,35
"0481",NA,3,NA,NA,"Male","No","At least one parent attended college","hispanic","hispanic",NA,"No",NA,18,NA
"0482",9,7,"Some","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",35,45
"0483",NA,7,NA,"Not enough","Female","No","At least one parent attended college","white","white",NA,"No",NA,24,NA
"0484",NA,4,NA,"Not enough","Male",NA,"Neither parent attended college","white",NA,NA,"No",NA,23,NA
"0485",1,1,"Just enough","Not enough","Female","No","At least one parent attended college","white","white",NA,"No","No",32,36
"0486",7,7,"Some","Just enough","Male","No","At least one parent attended college","white","white",NA,"No","No",23,24
"0487",9,9,"Some","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",34,33
"0488",3,2,"Some","Just enough","Female","No","Neither parent attended college","black","black","Yes","No","No",21,23
"0489",3,3,"Just enough","Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",40,46
"0490",NA,4,NA,"Some","Female","No","At least one parent attended college","black","black","No","No",NA,27,NA
"0491",NA,2,NA,"Just enough","Male","No","Neither parent attended college","black","black","Yes","No",NA,20,NA
"0492",9,8,"Some","Just enough","Male","No","At least one parent attended college","hispanic","black","Yes","No","No",22,22
"0493",NA,NA,NA,"Just enough","Female","No","At least one parent attended college","black","black",NA,"No",NA,33,NA
"0494",NA,8,NA,"Some","Male","No","Neither parent attended college","black","black",NA,"No",NA,27,NA
"0495",9,9,"Some","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",36,40
"0496",8,NA,"Some",NA,"Female","No","At least one parent attended college","black","black",NA,NA,"No",30,35
"0497",NA,NA,"Some","Some","Female","No","Neither parent attended college","black","black","Yes","No","No",18,20
"0498",8,2,"Some","Not enough","Male","No","At least one parent attended college","black","black","No","No","No",21,22
"0499",5,7,"Just enough","Some","Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","Yes",33,31
"0500",9,8,"Some","Just enough","Male","No","At least one parent attended college","white","white",NA,"No","No",33,36
"0501",4,NA,"Just enough","Just enough","Female","No","Neither parent attended college","black","black",NA,"No","No",21,28
"0502",NA,6,NA,"Just enough","Male","No","At least one parent attended college","black",NA,NA,"No",NA,30,NA
"0503",3,NA,"Just enough",NA,"Male","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",20,26
"0504",6,9,"Just enough","Just enough","Female","No","At least one parent attended college","white","white",NA,"No","No",19,25
"0505",NA,NA,"Just enough","Just enough","Male","No","Neither parent attended college","black","black",NA,"No","No",19,22
"0506",8,6,"Some","Some","Male","No","At least one parent attended college","hispanic","black","No","No","No",27,28
"0507",6,6,"Just enough","Just enough","Male","No","Neither parent attended college","black","black","Yes","No","No",17,18
"0508",NA,2,NA,NA,"Female","No","Neither parent attended college","hispanic","hispanic","No","No",NA,18,NA
"0509",NA,1,NA,"Just enough","Female","No","Neither parent attended college","black","black",NA,"No",NA,18,NA
"0510",NA,3,"Just enough","Not enough","Male","No","Neither parent attended college","black","black","Yes","No","No",31,27
"0511",NA,6,NA,"Some","Female","No","At least one parent attended college","black","black",NA,"No",NA,30,NA
"0512",9,9,"Some","Just enough","Female","No","At least one parent attended college","white","white",NA,"No","No",40,38
"0513",NA,3,NA,"Just enough","Female","Yes","At least one parent attended college","black","black",NA,"No",NA,36,NA
"0514",6,5,"Just enough","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",19,24
"0515",6,6,"Just enough","Some","Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",20,21
"0516",1,1,"Just enough","Just enough","Male","No","Neither parent attended college","black","black","No","No","No",21,19
"0517",6,7,"Just enough","Some","Female","No","At least one parent attended college","black","black",NA,"No","No",30,30
"0518",NA,NA,"Just enough","Just enough","Female","No","Neither parent attended college","hispanic","hispanic","No","Yes","Yes",21,23
"0519",9,NA,"Some","Just enough","Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",23,26
"0520",7,1,"Just enough","Not enough","Female","No","Neither parent attended college","black","black","No","No","No",25,25
"0521",4,1,"Some","Some","Female","No","Neither parent attended college","black","black",NA,"No","No",23,38
"0522",6,5,"Some","Just enough","Female","No","At least one parent attended college","hispanic","black",NA,"No","Yes",25,27
"0523",NA,NA,NA,"Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes",NA,31,NA
"0524",NA,4,"Not enough","Just enough","Male","No","Neither parent attended college","hispanic","hispanic","Yes","No","No",22,23
"0525",NA,2,NA,"Just enough","Male","No","Neither parent attended college","black","black","No","No",NA,37,NA
"0526",NA,NA,"Some",NA,"Male","No","Neither parent attended college","white","hispanic",NA,"No","No",19,29
"0527",NA,4,"Some","Some","Male","No","Neither parent attended college","white","white",NA,"No","No",22,21
"0528",4,4,"Just enough",NA,"Male","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",20,22
"0529",NA,2,"Some","Just enough","Female","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",22,26
"0530",NA,NA,"Some","Just enough","Female","No","At least one parent attended college","white","white",NA,"No","No",42,40
"0531",8,8,"Some","Some","Male","No","At least one parent attended college","black","black",NA,"No","No",34,35
"0532",4,NA,"Just enough",NA,"Male","No","Neither parent attended college","hispanic","hispanic",NA,NA,"Yes",32,36
"0533",6,3,"Some","Some","Female","No","Neither parent attended college","black","black",NA,"No","No",25,25
"0534",4,NA,"Some",NA,"Female","No","Neither parent attended college","white","hispanic","Yes","No","Yes",38,38
"0535",9,9,"Some","Some","Male","Yes","At least one parent attended college",NA,NA,NA,"No","No",38,38
"0536",1,5,"Some","Some","Male","No","Neither parent attended college","black","black",NA,"No","No",25,21
"0537",NA,NA,NA,"Some","Male","No","At least one parent attended college","hispanic","black","Yes","No",NA,20,NA
"0538",NA,9,"Not enough","Just enough","Female","No","Neither parent attended college","black","black",NA,"No","No",18,25
"0539",NA,NA,"Some","Not enough","Male","No","Neither parent attended college",NA,"black","Yes","No","No",18,19
"0540",NA,5,NA,NA,"Male","No","At least one parent attended college","black","black",NA,"No",NA,27,NA
"0541",7,4,"Just enough","Not enough","Female","No","Neither parent attended college","hispanic","hispanic","Yes","No","No",32,26
"0542",7,9,"Some","Some","Female","No","At least one parent attended college","hispanic","white",NA,"No","No",29,33
"0543",NA,NA,NA,"Just enough","Female","No","Neither parent attended college","black","hispanic","No","No",NA,16,NA
"0544",9,8,"Just enough","Some","Male","No","At least one parent attended college","black","black",NA,"No","No",38,33
"0545",NA,1,NA,"Some","Male","No","Neither parent attended college","white","white",NA,"No",NA,27,NA
"0546",NA,3,NA,"Just enough","Female","No","Neither parent attended college","black","black",NA,"No",NA,35,NA
"0547",5,5,"Some","Some","Male","No","Neither parent attended college","black","black",NA,"No","No",23,40
"0548",2,2,"Just enough",NA,"Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",23,21
"0549",9,NA,"Just enough","Some","Female","No","Neither parent attended college","hispanic",NA,NA,"No","No",18,26
"0550",3,1,"Just enough","Just enough","Female","No","At least one parent attended college","hispanic","hispanic","Yes","No","No",29,33
"0551",2,NA,"Some",NA,"Female","No","Neither parent attended college","black","black","No",NA,"No",43,40
"0552",NA,8,"Some","Just enough","Male","No","Neither parent attended college","black","black","Yes","No","No",18,20
"0553",7,6,"Some","Just enough","Female","No","At least one parent attended college","black","black",NA,"No","No",27,24
"0554",NA,4,NA,"Just enough","Female",NA,"Neither parent attended college","hispanic",NA,NA,"No",NA,20,NA
"0555",9,7,"Just enough","Some","Male","No","At least one parent attended college",NA,NA,NA,"No","No",29,30
"0556",1,5,NA,NA,"Female","No","At least one parent attended college","black","black","Yes",NA,"No",29,34
"0557",2,3,"Just enough","Some","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",25,26
"0558",5,3,"Just enough","Just enough","Female","No","Neither parent attended college","black","black",NA,"No","No",20,24
"0559",NA,NA,"Not enough","Some","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",31,31
"0560",4,2,"Not enough","Some","Male","No","At least one parent attended college","black","black",NA,"No","No",23,21
"0561",4,4,"Just enough",NA,"Male","No","Neither parent attended college","hispanic","hispanic",NA,NA,"Yes",25,24
"0562",NA,2,NA,"Not enough","Male","No","Neither parent attended college","black","black","Yes","No",NA,32,NA
"0563",5,3,"Some","Some","Female","No","Neither parent attended college","white","white",NA,"No","No",19,19
"0564",7,6,"Some","Some","Female","No","Neither parent attended college","black","black",NA,"No","No",30,31
"0565",2,NA,"Some","Not enough","Male","Yes","Neither parent attended college","black","black",NA,"No","No",35,31
"0566",NA,NA,"Some","Not enough","Female","No","Neither parent attended college","black","black",NA,"No","No",36,53
"0567",7,2,"Some","Just enough","Male","No","Neither parent attended college","black","black",NA,"No","No",38,36
"0568",9,8,"Some","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",30,33
"0569",3,1,"Just enough","Some","Female","No","Neither parent attended college",NA,NA,NA,"No","No",20,23
"0570",NA,3,NA,"Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"No",NA,24,NA
"0571",2,1,"Just enough","Just enough","Male","No","Neither parent attended college","black","black",NA,"No","No",20,20
"0572",9,9,"Just enough",NA,"Male","No","At least one parent attended college","white","white",NA,NA,"No",41,36
"0573",9,8,"Some","Some","Male","No","At least one parent attended college","black","black",NA,"No","No",35,41
"0574",NA,NA,"Not enough","Just enough","Male","No","At least one parent attended college","hispanic","hispanic",NA,"Yes","Yes",36,34
"0575",NA,1,NA,"Just enough","Male","No","Neither parent attended college","black","black",NA,"No",NA,23,NA
"0576",NA,1,"Not enough","Some","Male","No","Neither parent attended college","black","black","Yes","No","No",19,19
"0577",2,1,"Just enough","Just enough","Male","No","Neither parent attended college","black","black","No","No","No",22,29
"0578",NA,4,"Just enough","Just enough","Female","No","Neither parent attended college","black","black",NA,"No","No",25,30
"0579",NA,1,NA,"Just enough","Female","No","Neither parent attended college","black","black","No","No",NA,36,NA
"0580",NA,3,NA,NA,"Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes",NA,20,NA
"0581",9,9,"Some","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",42,40
"0582",5,4,"Just enough",NA,"Male","No","Neither parent attended college","black","black",NA,NA,"No",21,23
"0583",7,8,"Some","Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",26,31
"0584",9,9,"Just enough","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",33,35
"0585",NA,1,NA,"Just enough","Male","No","Neither parent attended college",NA,NA,"Yes","No",NA,18,NA
"0586",NA,NA,"Just enough","Some","Female","No","Neither parent attended college","black","black","No","No","No",20,19
"0587",2,NA,"Some","Just enough","Male","No","Neither parent attended college","white","white",NA,"No","No",22,28
"0588",NA,1,NA,"Not enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes",NA,24,NA
"0589",7,8,"Just enough","Some","Female","No","At least one parent attended college","black","black","Yes","No","No",19,19
"0590",NA,2,NA,"Not enough","Male","No","At least one parent attended college","hispanic","hispanic","No","Yes",NA,22,NA
"0591",6,1,"Just enough","Not enough","Female","No","At least one parent attended college","white","white",NA,"No","No",23,22
"0592",6,5,"Some","Some","Female","No","Neither parent attended college","black","black",NA,"No","No",35,34
"0593",7,NA,"Just enough",NA,"Male","No","Neither parent attended college","white","white",NA,"No","No",25,27
"0594",NA,7,"Just enough","Just enough","Male","No","Neither parent attended college",NA,"black",NA,"No","No",22,24
"0595",NA,4,NA,"Just enough","Male","No","At least one parent attended college","white","white",NA,"No",NA,22,NA
"0596",9,8,"Some","Some","Male","No","At least one parent attended college",NA,NA,NA,"No","No",31,34
"0597",4,1,"Just enough","Not enough","Male","No","At least one parent attended college","black","black","Yes","No","No",34,44
"0598",3,NA,"Some","Just enough","Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",18,25
"0599",NA,7,NA,"Just enough","Male","No","At least one parent attended college","black","black",NA,"No",NA,20,NA
"0600",NA,NA,"Some","Some","Female","No","Neither parent attended college","black","black","No","No","No",18,20
"0601",NA,5,NA,NA,"Male","No","Neither parent attended college","black","black","No",NA,NA,29,NA
"0602",NA,2,"Just enough","Just enough","Male","No","Neither parent attended college","hispanic","black",NA,"No","No",22,22
"0603",6,6,"Some",NA,"Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","Yes",29,31
"0604",6,3,"Some","Some","Female","No","Neither parent attended college","black","hispanic","Yes","No","No",18,18
"0605",9,9,"Some","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",29,29
"0606",NA,4,NA,"Some","Female","No","Neither parent attended college","hispanic","black","Yes","No",NA,21,NA
"0607",4,6,"Just enough",NA,"Female","No","At least one parent attended college","hispanic","hispanic",NA,NA,"Yes",23,25
"0608",4,3,"Just enough",NA,"Male","No","Neither parent attended college","black","black","Yes",NA,"No",40,34
"0609",NA,2,NA,"Not enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"Yes",NA,30,NA
"0610",NA,NA,"Some","Just enough","Male","No","At least one parent attended college","black","black","Yes","No","No",20,19
"0611",6,NA,"Just enough",NA,"Female","No","Neither parent attended college","hispanic","hispanic",NA,NA,"Yes",27,32
"0612",NA,6,NA,NA,"Male","No","Neither parent attended college","black","black","No","No",NA,24,NA
"0613",NA,8,"Just enough","Some","Female","No","At least one parent attended college",NA,"white","Yes","No","No",21,25
"0614",9,NA,"Some","Not enough","Male","No","Neither parent attended college","hispanic","hispanic","Yes","No","No",19,25
"0615",9,9,"Some","Some","Male","No","At least one parent attended college",NA,"white",NA,"No","No",35,32
"0616",NA,8,"Just enough","Just enough","Male","No","At least one parent attended college","black","black","No","No","No",20,29
"0617",NA,8,"Not enough","Not enough","Male","Yes","Neither parent attended college","hispanic","hispanic",NA,"No","Yes",18,20
"0618",NA,1,"Some","Just enough","Female","No","At least one parent attended college",NA,"black","Yes","No","No",23,25
"0619",3,7,"Some","Just enough","Female","No","At least one parent attended college","black","black","No","No","No",18,20
"0620",NA,1,NA,"Some","Female","No","At least one parent attended college","black","black","Yes","No",NA,23,NA
"0621",2,2,"Just enough",NA,"Female","No","Neither parent attended college","black","black",NA,"No","No",20,20
"0622",NA,2,"Not enough","Not enough","Female","No","At least one parent attended college","hispanic","hispanic","Yes","No","No",29,22
"0623",1,6,"Just enough",NA,"Female","No","Neither parent attended college","black","black",NA,"No","No",24,20
"0624",6,6,"Some","Some","Female","No","Neither parent attended college","black","black",NA,"No","No",19,19
"0625",5,NA,"Some","Just enough","Male","No","At least one parent attended college","hispanic","hispanic",NA,"Yes","Yes",22,26
"0626",NA,2,"Some","Some","Female","No","Neither parent attended college","hispanic","hispanic","Yes","No","No",25,27
"0627",NA,1,NA,"Just enough","Female","No","Neither parent attended college","black","black","No","No",NA,23,NA
"0628",9,7,"Some","Just enough","Male","No","At least one parent attended college","white","white",NA,"No","No",29,24
"0629",4,NA,"Just enough","Just enough","Male","No","Neither parent attended college","hispanic","hispanic","No","No","No",28,41
"0630",NA,NA,"Not enough","Just enough","Female","No","At least one parent attended college","hispanic","hispanic","Yes","No","No",35,39
"0631",3,NA,"Just enough","Some","Male","No","Neither parent attended college","black","black","Yes","No","No",15,17
"0632",1,2,"Not enough",NA,"Male","No","Neither parent attended college","black","black","No","No","No",18,25
"0633",NA,4,"Some","Some","Male","No","Neither parent attended college","hispanic","hispanic","Yes","No","Yes",16,26
"0634",NA,9,NA,"Just enough","Female","No","At least one parent attended college","white","hispanic",NA,"No",NA,27,NA
"0635",6,3,"Some","Just enough","Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",19,23
"0636",NA,NA,"Just enough","Some","Male","No","Neither parent attended college","black","black",NA,"No","No",19,19
"0637",5,NA,"Just enough","Some","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No","Yes",24,22
"0638",NA,4,"Some","Not enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",24,27
"0639",NA,8,NA,"Some","Female","No","At least one parent attended college","black","black",NA,"No",NA,31,NA
"0640",5,NA,"Some","Some","Female","No","At least one parent attended college","black","black",NA,"No","No",19,25
"0641",8,8,"Just enough","Just enough","Female","No","At least one parent attended college","white","white",NA,"No","No",26,26
"0642",NA,5,"Some","Some","Female","No","At least one parent attended college","black","black","Yes","No","No",26,33
"0643",NA,7,NA,"Just enough","Male","No","At least one parent attended college","white","white",NA,"No",NA,40,NA
"0644",NA,8,NA,"Some","Female","No","Neither parent attended college","white","white",NA,"No",NA,25,NA
"0645",NA,NA,NA,NA,"Female","No","Neither parent attended college","hispanic","hispanic","No",NA,NA,38,NA
"0646",3,NA,"Some","Just enough","Female","Yes","At least one parent attended college","hispanic","hispanic","Yes","No","No",43,34
"0647",NA,1,NA,"Not enough","Female","No","Neither parent attended college","hispanic","hispanic","Yes","Yes",NA,43,NA
"0648",NA,NA,NA,"Just enough","Female","No","At least one parent attended college","white","black",NA,"No",NA,27,NA
"0649",5,7,"Just enough","Just enough","Female","No","Neither parent attended college","black","black","Yes","No","No",18,21
"0650",6,5,"Not enough","Some","Male","No","At least one parent attended college","black","black",NA,"No","No",26,36
"0651",NA,8,"Just enough",NA,"Female","No","Neither parent attended college","hispanic","white",NA,"No","No",21,24
"0652",8,7,"Some","Some","Male","No","At least one parent attended college","hispanic","white",NA,"No","No",23,25
"0653",5,NA,"Not enough",NA,"Female","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",19,20
"0654",4,9,"Just enough","Some","Female","No","At least one parent attended college","hispanic","hispanic","Yes","No","No",19,19
"0655",NA,5,NA,"Not enough","Female","No","At least one parent attended college","black","black",NA,"No",NA,27,NA
"0656",NA,NA,NA,"Some","Female","No","Neither parent attended college","black","black",NA,"No",NA,20,NA
"0657",2,3,"Some","Some","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",30,31
"0658",5,4,"Just enough","Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",22,26
"0659",6,7,"Just enough","Just enough","Female","No","At least one parent attended college","black","black",NA,"No","No",30,30
"0660",4,4,"Just enough",NA,"Female","No","Neither parent attended college","hispanic","hispanic",NA,NA,"Yes",30,30
"0661",NA,5,"Not enough",NA,"Female","No","Neither parent attended college","hispanic","hispanic",NA,NA,"Yes",35,45
"0662",NA,5,NA,"Just enough","Male","No","At least one parent attended college","black","black","No","No",NA,28,NA
"0663",1,5,"Not enough","Some","Female","No","Neither parent attended college","black","black",NA,"No","No",23,27
"0664",7,7,"Just enough","Just enough","Male","No","At least one parent attended college","white","white",NA,"No","No",27,27
"0665",7,3,"Not enough","Just enough","Female","No","Neither parent attended college","black","black","No","No","No",21,18
"0666",3,2,"Some","Some","Male","No","At least one parent attended college","black","black",NA,"No","No",20,19
"0667",1,2,"Some","Just enough","Male","Yes","At least one parent attended college","black","black","No","No","No",21,26
"0668",NA,6,"Just enough","Just enough","Male","No","Neither parent attended college","black","black",NA,"No","No",37,44
"0669",7,6,"Some",NA,"Female","No","At least one parent attended college","white","hispanic",NA,"No","No",22,18
"0670",7,6,"Just enough","Some","Female","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",21,22
"0671",6,4,"Just enough","Just enough","Female","No","Neither parent attended college",NA,"black",NA,"No","No",21,32
"0672",NA,7,"Some","Just enough","Female","No","At least one parent attended college","black","hispanic",NA,"No","No",23,27
"0673",7,NA,"Some","Not enough","Female","No","Neither parent attended college","black","black","Yes","No","No",21,23
"0674",NA,NA,NA,"Just enough","Female","No","Neither parent attended college","black","black",NA,"No",NA,17,NA
"0675",9,9,"Some","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",35,43
"0676",8,NA,"Some","Some","Female","No","Neither parent attended college","hispanic","hispanic",NA,"Yes","Yes",28,28
"0677",NA,3,NA,NA,"Female","No","Neither parent attended college","black","black","Yes",NA,NA,19,NA
"0678",2,6,"Not enough","Some","Male","No","At least one parent attended college","black","black",NA,"No","No",34,41
"0679",NA,3,"Just enough","Not enough","Male","No","Neither parent attended college","black","black",NA,"No","No",21,31
"0680",7,7,"Not enough","Not enough","Male","No","At least one parent attended college","black","black",NA,"No","No",39,39
"0681",9,9,"Some","Some","Male","No","At least one parent attended college","hispanic","hispanic",NA,"No","No",30,30
"0682",NA,2,NA,"Just enough","Male","No","Neither parent attended college","black","black",NA,"No",NA,24,NA
"0683",NA,NA,"Some","Not enough","Male","No","Neither parent attended college","hispanic","hispanic","Yes","Yes","Yes",32,25
"0684",NA,1,"Some","Just enough","Male","No","At least one parent attended college","hispanic","hispanic","Yes","No","No",43,43
"0685",6,3,"Just enough","Some","Female","No","Neither parent attended college","white","white",NA,"No","No",18,24
"0686",NA,NA,"Just enough","Just enough","Female","No","Neither parent attended college","hispanic","white",NA,"No","No",18,20
"0687",NA,9,NA,"Some","Male","No","At least one parent attended college","black","black",NA,"No",NA,36,NA
"0688",7,7,"Some","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",28,30
"0689",NA,6,NA,"Some","Female","No","At least one parent attended college","black",NA,NA,"No",NA,41,NA
"0690",NA,5,NA,"Some","Female",NA,"At least one parent attended college","black",NA,NA,"No",NA,22,NA
"0691",NA,NA,"Not enough","Some","Female","No","Neither parent attended college","black","black","Yes","No","No",19,19
"0692",9,NA,"Some","Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",15,17
"0693",NA,2,NA,"Some","Female","No","At least one parent attended college","white","hispanic","No","No",NA,30,NA
"0694",NA,1,NA,"Just enough","Male","No","Neither parent attended college","black","black","Yes","No",NA,19,NA
"0695",8,9,"Just enough","Just enough","Female","No","At least one parent attended college","black","black",NA,"No","No",31,30
"0696",6,5,"Some","Some","Female","No","Neither parent attended college","white","white",NA,"No","No",20,23
"0697",6,4,"Some","Just enough","Male","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",20,20
"0698",7,7,"Just enough","Some","Male","No","At least one parent attended college","black","black",NA,"No","No",28,33
"0699",6,6,"Just enough","Just enough","Male","No","At least one parent attended college","black","black",NA,"No","No",29,33
"0700",8,4,"Just enough","Some","Male","No","Neither parent attended college","white","white",NA,"No","No",20,23
"0701",7,NA,"Some","Some","Male","No","At least one parent attended college","black","black",NA,"No","No",18,23
"0702",1,2,"Some","Just enough","Female","No","At least one parent attended college","white","white",NA,"No","No",28,30
"0703",2,1,"Some",NA,"Male","No","Neither parent attended college","hispanic","hispanic",NA,"No","No",21,18
"0704",9,9,"Some","Some","Male","No","At least one parent attended college","white","white",NA,"No","No",38,37
"0705",NA,2,"Some","Not enough","Male","No","Neither parent attended college","black","black","Yes","No","No",21,25
"0706",7,7,"Some","Some","Female","No","At least one parent attended college","white","white",NA,"No","No",32,38
"0707",NA,7,NA,NA,"Female","No","Neither parent attended college","black","black",NA,"No",NA,21,NA
"0708",2,5,"Some",NA,"Female","No","Neither parent attended college","black","black","Yes",NA,"No",20,24
"0709",NA,1,NA,"Some","Male","No","At least one parent attended college","black","black",NA,"No",NA,19,NA
"0710",NA,1,"Just enough","Just enough","Female","No","Neither parent attended college","black","black","Yes","No","No",23,25
"0711",NA,NA,"Some",NA,"Female","No","At least one parent attended college","black","black","Yes",NA,"No",19,20
"0712",6,5,"Just enough","Just enough","Male","No","Neither parent attended college","black","black",NA,"No","No",22,31
"0713",NA,2,NA,"Just enough","Female","No","Neither parent attended college","black","black",NA,"No",NA,35,NA
"0714",5,1,"Just enough","Just enough","Male","No","Neither parent attended college","black","black",NA,"No","No",19,18
"0715",NA,8,"Just enough","Some","Female","No","At least one parent attended college","black","black",NA,"No","No",22,22
