"idnum","cm1edu","cf1edu","cm1povca","cf1povca","povstatus","edustatus","f4b7a","m4b7a","child_attend_kindergarten"
"0913",3,1,4,4,"high-income","At least one parent attended college",2,2,"no"
"0914",2,2,3,3,"low-income","Neither parent attended college",1,1,"yes"
"0915",3,2,2,-9,"low-income","At least one parent attended college",-9,2,"no"
"0916",2,-3,2,-9,"low-income","Neither parent attended college",-9,-6,NA
"0917",2,2,3,4,"high-income","Neither parent attended college",-6,-6,NA
"0918",2,3,3,4,"high-income","At least one parent attended college",-9,-9,NA
"0919",3,3,5,5,"high-income","At least one parent attended college",-9,-9,NA
"0920",4,4,3,5,"high-income","At least one parent attended college",-9,-6,NA
"0921",2,1,2,5,"high-income","Neither parent attended college",-6,-5,NA
"0922",1,-3,3,-9,"low-income","Neither parent attended college",-6,2,"no"
"0923",3,3,2,2,"low-income","At least one parent attended college",-9,-6,NA
"0924",1,3,4,5,"high-income","At least one parent attended college",1,-6,"yes"
"0925",1,2,3,3,"low-income","Neither parent attended college",-9,-6,NA
"0926",3,3,5,5,"high-income","At least one parent attended college",-6,-6,NA
"0927",2,3,5,5,"high-income","At least one parent attended college",-6,1,"yes"
"0928",2,2,4,4,"high-income","Neither parent attended college",-9,-9,NA
"0929",1,1,2,4,"high-income","Neither parent attended college",-6,2,"no"
"0930",1,2,2,-9,"low-income","Neither parent attended college",-9,-9,NA
"0931",3,4,5,5,"high-income","At least one parent attended college",-6,-6,NA
"0932",1,-3,3,-9,"low-income","Neither parent attended college",-9,-5,NA
"0933",2,3,2,1,"low-income","At least one parent attended college",1,2,"no"
"0934",1,1,4,5,"high-income","Neither parent attended college",-6,2,"no"
"0935",2,2,4,5,"high-income","Neither parent attended college",-9,-6,NA
"0936",2,2,1,-9,"low-income","Neither parent attended college",-9,1,"yes"
"0937",3,3,3,3,"low-income","At least one parent attended college",2,1,"no"
"0938",1,3,1,-9,"low-income","At least one parent attended college",-9,1,"yes"
"0939",4,2,4,5,"high-income","At least one parent attended college",-6,-5,NA
"0940",2,2,1,-9,"low-income","Neither parent attended college",1,1,"yes"
"0941",1,3,5,-9,"high-income","At least one parent attended college",-9,-9,NA
"0942",3,3,3,3,"low-income","At least one parent attended college",-9,2,"no"
"0943",2,2,1,1,"low-income","Neither parent attended college",-6,1,"yes"
"0944",1,1,4,2,"high-income","Neither parent attended college",2,2,"no"
"0945",3,2,3,3,"low-income","At least one parent attended college",1,-6,"yes"
"0946",2,3,1,1,"low-income","At least one parent attended college",2,2,"no"
"0947",2,1,1,-9,"low-income","Neither parent attended college",-9,-6,NA
"0948",2,3,3,-9,"low-income","At least one parent attended college",-9,-6,NA
"0949",4,4,3,3,"low-income","At least one parent attended college",-6,-6,NA
"0950",3,3,5,5,"high-income","At least one parent attended college",2,2,"no"
"0951",1,3,2,5,"high-income","At least one parent attended college",2,1,"no"
"0952",3,2,4,4,"high-income","At least one parent attended college",-6,-6,NA
"0953",3,2,5,5,"high-income","At least one parent attended college",-9,-6,NA
"0954",1,2,2,-9,"low-income","Neither parent attended college",-6,-6,NA
"0955",2,1,3,4,"high-income","Neither parent attended college",-6,-6,NA
"0956",3,3,3,3,"low-income","At least one parent attended college",1,1,"yes"
"0957",3,2,3,5,"high-income","At least one parent attended college",-9,-6,NA
"0958",1,1,2,-9,"low-income","Neither parent attended college",1,-6,"yes"
"0959",3,3,5,5,"high-income","At least one parent attended college",1,2,"no"
"0960",3,2,2,2,"low-income","At least one parent attended college",-6,-6,NA
"0961",1,2,1,1,"low-income","Neither parent attended college",-6,-6,NA
"0962",1,1,1,-9,"low-income","Neither parent attended college",-6,-6,NA
"0963",2,4,3,3,"low-income","At least one parent attended college",-9,1,"yes"
"0964",3,3,5,5,"high-income","At least one parent attended college",-6,-6,NA
"0965",2,3,2,3,"low-income","At least one parent attended college",-9,-6,NA
"0966",2,2,2,5,"high-income","Neither parent attended college",-6,-6,NA
"0967",4,4,5,5,"high-income","At least one parent attended college",2,2,"no"
"0968",1,1,1,1,"low-income","Neither parent attended college",2,2,"no"
"0969",3,2,3,3,"low-income","At least one parent attended college",1,1,"yes"
"0970",1,1,1,1,"low-income","Neither parent attended college",1,2,"no"
"0971",3,1,2,-9,"low-income","At least one parent attended college",-9,-6,NA
"0972",1,1,2,3,"low-income","Neither parent attended college",-6,-9,NA
"0973",2,1,1,3,"low-income","Neither parent attended college",-6,-6,NA
"0974",3,3,1,1,"low-income","At least one parent attended college",-9,-5,NA
"0975",2,2,3,3,"low-income","Neither parent attended college",-9,-6,NA
"0976",2,4,3,5,"high-income","At least one parent attended college",-9,-9,NA
"0977",4,4,5,5,"high-income","At least one parent attended college",-9,-9,NA
"0978",3,-3,5,-9,"high-income","At least one parent attended college",-9,-6,NA
"0979",2,2,3,4,"high-income","Neither parent attended college",-6,1,"yes"
"0980",2,2,1,-9,"low-income","Neither parent attended college",-9,-9,NA
"0981",1,-3,1,-9,"low-income","Neither parent attended college",-9,-9,NA
"0982",2,3,5,5,"high-income","At least one parent attended college",-6,1,"yes"
"0983",1,1,3,3,"low-income","Neither parent attended college",-9,-9,NA
"0984",2,2,5,5,"high-income","Neither parent attended college",1,1,"yes"
"0985",2,1,2,2,"low-income","Neither parent attended college",-9,-6,NA
"0986",2,2,3,1,"low-income","Neither parent attended college",-9,-9,NA
"0987",3,2,4,5,"high-income","At least one parent attended college",-9,-9,NA
"0988",3,2,2,3,"low-income","At least one parent attended college",-6,-6,NA
"0989",1,1,5,4,"high-income","Neither parent attended college",-6,-6,NA
"0990",2,4,3,5,"high-income","At least one parent attended college",-9,2,"no"
"0991",1,1,1,-9,"low-income","Neither parent attended college",-9,-9,NA
"0992",2,3,5,-9,"high-income","At least one parent attended college",-6,2,"no"
"0993",1,1,2,2,"low-income","Neither parent attended college",-6,2,"no"
"0994",1,1,3,2,"low-income","Neither parent attended college",-6,2,"no"
"0995",3,2,4,3,"high-income","At least one parent attended college",-9,-6,NA
"0996",2,2,3,-9,"low-income","Neither parent attended college",-6,1,"yes"
"0997",4,4,3,3,"low-income","At least one parent attended college",1,1,"yes"
"0998",2,1,4,3,"high-income","Neither parent attended college",-6,-6,NA
"0999",3,2,4,4,"high-income","At least one parent attended college",-9,-9,NA
"1000",1,3,1,-9,"low-income","At least one parent attended college",-9,1,"yes"
"1001",1,1,3,-9,"low-income","Neither parent attended college",-6,-9,NA
"1002",1,2,3,3,"low-income","Neither parent attended college",-6,-5,NA
"1003",1,2,1,1,"low-income","Neither parent attended college",-6,2,"no"
"1004",1,1,1,2,"low-income","Neither parent attended college",-6,-6,NA
"1005",3,2,4,-9,"high-income","At least one parent attended college",-6,-6,NA
"1006",1,1,2,-9,"low-income","Neither parent attended college",-9,-6,NA
"1007",1,3,2,3,"low-income","At least one parent attended college",-9,-6,NA
"1008",1,1,3,3,"low-income","Neither parent attended college",-9,-6,NA
"1009",1,1,3,3,"low-income","Neither parent attended college",-6,-9,NA
"1010",2,2,1,5,"high-income","Neither parent attended college",1,-6,"yes"
"1011",2,3,2,5,"high-income","At least one parent attended college",1,1,"yes"
"1012",1,2,2,4,"high-income","Neither parent attended college",-9,-6,NA
"1013",4,4,5,-9,"high-income","At least one parent attended college",-6,-9,NA
"1014",2,2,3,4,"high-income","Neither parent attended college",-9,-6,NA
"1015",3,2,5,5,"high-income","At least one parent attended college",1,1,"yes"
"1016",3,3,4,4,"high-income","At least one parent attended college",1,1,"yes"
"1017",3,1,1,3,"low-income","At least one parent attended college",1,-6,"yes"
"1018",3,2,5,5,"high-income","At least one parent attended college",1,-6,"yes"
"1019",2,1,5,-9,"high-income","Neither parent attended college",-9,1,"yes"
"1020",2,3,3,3,"low-income","At least one parent attended college",-9,-9,NA
"1021",1,3,3,3,"low-income","At least one parent attended college",1,1,"yes"
"1022",2,3,3,3,"low-income","At least one parent attended college",1,-6,"yes"
"1023",4,3,5,5,"high-income","At least one parent attended college",2,2,"no"
"1024",2,2,2,2,"low-income","Neither parent attended college",-9,2,"no"
"1025",4,4,5,5,"high-income","At least one parent attended college",-6,-5,NA
"1026",1,-3,1,-9,"low-income","Neither parent attended college",-9,2,"no"
"1027",1,2,5,-9,"high-income","Neither parent attended college",-6,-6,NA
"1028",1,1,1,1,"low-income","Neither parent attended college",-9,-9,NA
"1029",3,3,5,4,"high-income","At least one parent attended college",-9,-6,NA
"1030",2,2,4,-9,"high-income","Neither parent attended college",-9,-9,NA
"1031",4,4,5,5,"high-income","At least one parent attended college",-9,1,"yes"
"1032",2,2,4,4,"high-income","Neither parent attended college",-6,-6,NA
"1033",3,3,5,5,"high-income","At least one parent attended college",-9,2,"no"
"1034",1,1,1,-9,"low-income","Neither parent attended college",-6,-9,NA
"1035",2,2,2,-9,"low-income","Neither parent attended college",-6,-6,NA
"1036",3,2,2,2,"low-income","At least one parent attended college",1,-6,"yes"
"1037",4,4,5,5,"high-income","At least one parent attended college",2,2,"no"
"1038",1,2,2,1,"low-income","Neither parent attended college",-9,-6,NA
"1039",4,4,5,5,"high-income","At least one parent attended college",-9,-9,NA
"1040",4,4,4,-9,"high-income","At least one parent attended college",-9,-9,NA
"1041",1,2,3,-9,"low-income","Neither parent attended college",-6,1,"yes"
"1042",1,2,1,-9,"low-income","Neither parent attended college",2,2,"no"
"1043",1,1,3,3,"low-income","Neither parent attended college",-6,2,"no"
"1044",3,2,3,3,"low-income","At least one parent attended college",2,2,"no"
"1045",4,3,5,5,"high-income","At least one parent attended college",2,2,"no"
"1046",1,1,1,4,"high-income","Neither parent attended college",-6,-6,NA
"1047",4,2,1,5,"high-income","At least one parent attended college",-9,-6,NA
"1048",2,1,3,3,"low-income","Neither parent attended college",-9,-6,NA
"1049",1,1,1,1,"low-income","Neither parent attended college",-9,-6,NA
"1050",3,2,5,5,"high-income","At least one parent attended college",-6,-6,NA
"1051",2,3,1,2,"low-income","At least one parent attended college",-9,-9,NA
"1052",4,3,5,5,"high-income","At least one parent attended college",-6,-6,NA
"1053",1,1,4,4,"high-income","Neither parent attended college",-6,-6,NA
"1054",2,1,1,4,"high-income","Neither parent attended college",-6,-5,NA
"1055",4,3,5,5,"high-income","At least one parent attended college",2,2,"no"
"1056",2,2,5,4,"high-income","Neither parent attended college",-9,2,"no"
"1057",2,1,4,5,"high-income","Neither parent attended college",-6,1,"yes"
"1058",2,4,5,5,"high-income","At least one parent attended college",1,-6,"yes"
"1059",4,3,5,5,"high-income","At least one parent attended college",-6,-6,NA
"1060",2,2,4,4,"high-income","Neither parent attended college",-6,-5,NA
"1061",1,1,3,3,"low-income","Neither parent attended college",-9,-9,NA
"1062",2,3,5,5,"high-income","At least one parent attended college",2,2,"no"
"1063",1,1,3,4,"high-income","Neither parent attended college",1,1,"yes"
"1064",2,2,2,3,"low-income","Neither parent attended college",-9,-6,NA
"1065",1,-3,2,-9,"low-income","Neither parent attended college",-6,-9,NA
"1066",1,2,4,4,"high-income","Neither parent attended college",-6,2,"no"
"1067",2,2,3,3,"low-income","Neither parent attended college",-6,2,"no"
"1068",1,3,3,2,"low-income","At least one parent attended college",-9,2,"no"
"1069",1,1,2,2,"low-income","Neither parent attended college",-6,1,"yes"
"1070",4,3,5,5,"high-income","At least one parent attended college",2,2,"no"
"1071",1,2,3,3,"low-income","Neither parent attended college",-6,-6,NA
"1072",4,4,5,5,"high-income","At least one parent attended college",1,-6,"yes"
"1073",3,1,3,-9,"low-income","At least one parent attended college",-9,2,"no"
"1074",1,2,2,4,"high-income","Neither parent attended college",-9,2,"no"
"1075",2,1,2,2,"low-income","Neither parent attended college",-6,-9,NA
"1076",2,1,1,4,"high-income","Neither parent attended college",-6,-6,NA
"1077",3,2,2,2,"low-income","At least one parent attended college",-6,-6,NA
"1078",1,1,1,1,"low-income","Neither parent attended college",2,2,"no"
"1079",2,3,4,4,"high-income","At least one parent attended college",-9,1,"yes"
"1080",2,3,1,-9,"low-income","At least one parent attended college",-9,-9,NA
"1081",1,1,1,-9,"low-income","Neither parent attended college",-6,-6,NA
"1082",2,2,2,3,"low-income","Neither parent attended college",-9,1,"yes"
"1083",1,2,1,-9,"low-income","Neither parent attended college",-9,2,"no"
"1084",2,1,1,-9,"low-income","Neither parent attended college",-9,-6,NA
"1085",3,2,3,-9,"low-income","At least one parent attended college",-9,-6,NA
"1086",1,1,2,1,"low-income","Neither parent attended college",-9,1,"yes"
"1087",2,2,3,5,"high-income","Neither parent attended college",-9,-6,NA
"1088",2,2,4,4,"high-income","Neither parent attended college",-9,-6,NA
"1089",1,3,3,5,"high-income","At least one parent attended college",1,1,"yes"
"1090",2,2,1,1,"low-income","Neither parent attended college",-9,-6,NA
"1091",1,2,1,2,"low-income","Neither parent attended college",1,1,"yes"
"1092",1,1,1,1,"low-income","Neither parent attended college",-9,1,"yes"
"1093",3,3,3,3,"low-income","At least one parent attended college",-6,-6,NA
"1094",1,1,4,4,"high-income","Neither parent attended college",-9,-9,NA
"1095",1,2,4,4,"high-income","Neither parent attended college",-6,1,"yes"
"1096",4,2,4,4,"high-income","At least one parent attended college",-6,1,"yes"
"1097",3,3,2,2,"low-income","At least one parent attended college",-6,-5,NA
"1098",2,2,3,3,"low-income","Neither parent attended college",1,1,"yes"
"1099",3,3,4,4,"high-income","At least one parent attended college",-6,-6,NA
"1100",3,2,5,5,"high-income","At least one parent attended college",-6,1,"yes"
"1101",3,1,3,3,"low-income","At least one parent attended college",2,-9,"no"
"1102",2,1,4,4,"high-income","Neither parent attended college",1,-6,"yes"
"1103",3,3,4,5,"high-income","At least one parent attended college",-9,1,"yes"
"1104",3,3,5,5,"high-income","At least one parent attended college",-6,-6,NA
"1105",1,2,1,1,"low-income","Neither parent attended college",-9,-6,NA
"1106",3,2,3,3,"low-income","At least one parent attended college",1,2,"no"
"1107",3,1,2,2,"low-income","At least one parent attended college",-9,2,"no"
"1108",1,1,1,1,"low-income","Neither parent attended college",-9,1,"yes"
"1109",1,2,3,-9,"low-income","Neither parent attended college",-6,-6,NA
"1110",3,3,4,3,"high-income","At least one parent attended college",-6,-6,NA
"1111",2,2,4,3,"high-income","Neither parent attended college",-9,-9,NA
"1112",1,1,3,2,"low-income","Neither parent attended college",1,1,"yes"
"1113",3,3,3,4,"high-income","At least one parent attended college",1,1,"yes"
"1114",4,3,3,3,"low-income","At least one parent attended college",-6,2,"no"
"1115",2,3,4,4,"high-income","At least one parent attended college",-6,-6,NA
"1116",1,1,1,-9,"low-income","Neither parent attended college",-9,2,"no"
"1117",3,2,4,4,"high-income","At least one parent attended college",-6,1,"yes"
"1118",2,2,3,3,"low-income","Neither parent attended college",2,2,"no"
"1119",1,1,3,5,"high-income","Neither parent attended college",-6,2,"no"
"1120",4,4,5,5,"high-income","At least one parent attended college",-6,2,"no"
"1121",2,1,3,3,"low-income","Neither parent attended college",-6,-6,NA
"1122",2,3,1,3,"low-income","At least one parent attended college",-6,-6,NA
"1123",4,4,5,5,"high-income","At least one parent attended college",-6,-5,NA
"1124",2,1,4,4,"high-income","Neither parent attended college",-9,2,"no"
"1125",1,1,1,-9,"low-income","Neither parent attended college",2,2,"no"
"1126",2,4,2,4,"high-income","At least one parent attended college",-9,-6,NA
"1127",1,2,1,-9,"low-income","Neither parent attended college",-9,-9,NA
"1128",1,2,3,-9,"low-income","Neither parent attended college",-6,1,"yes"
"1129",2,3,1,3,"low-income","At least one parent attended college",-9,-6,NA
"1130",1,2,1,1,"low-income","Neither parent attended college",-9,2,"no"
"1131",3,3,4,4,"high-income","At least one parent attended college",-9,-9,NA
"1132",3,4,4,4,"high-income","At least one parent attended college",-6,-9,NA
"1133",1,2,3,4,"high-income","Neither parent attended college",1,-6,"yes"
"1134",2,2,3,-9,"low-income","Neither parent attended college",-9,-6,NA
"1135",2,2,1,1,"low-income","Neither parent attended college",-9,1,"yes"
"1136",1,2,3,3,"low-income","Neither parent attended college",-6,-6,NA
"1137",1,2,2,-9,"low-income","Neither parent attended college",-9,-9,NA
"1138",1,1,3,-9,"low-income","Neither parent attended college",-9,-5,NA
"1139",3,1,5,5,"high-income","At least one parent attended college",-6,-6,NA
"1140",3,2,1,2,"low-income","At least one parent attended college",1,2,"no"
"1141",1,1,3,-9,"low-income","Neither parent attended college",-9,-9,NA
"1142",2,-3,1,-9,"low-income","Neither parent attended college",-9,-9,NA
"1143",1,1,1,1,"low-income","Neither parent attended college",1,1,"yes"
"1144",1,2,2,1,"low-income","Neither parent attended college",-6,-9,NA
"1145",1,2,1,1,"low-income","Neither parent attended college",-6,1,"yes"
"1146",3,2,3,3,"low-income","At least one parent attended college",-6,2,"no"
"1147",1,-3,1,-9,"low-income","Neither parent attended college",-6,-6,NA
"1148",3,2,5,4,"high-income","At least one parent attended college",-6,1,"yes"
"1149",1,1,1,5,"high-income","Neither parent attended college",-6,-6,NA
"1150",3,3,4,5,"high-income","At least one parent attended college",-6,1,"yes"
"1151",2,2,4,4,"high-income","Neither parent attended college",-6,2,"no"
"1152",1,2,3,3,"low-income","Neither parent attended college",2,2,"no"
"1153",2,2,3,-9,"low-income","Neither parent attended college",-9,-9,NA
"1154",2,1,1,-9,"low-income","Neither parent attended college",1,2,"no"
"1155",2,3,3,3,"low-income","At least one parent attended college",1,1,"yes"
"1156",4,4,4,-9,"high-income","At least one parent attended college",-6,-6,NA
"1157",3,3,5,5,"high-income","At least one parent attended college",-6,-9,NA
"1158",2,-3,1,-9,"low-income","Neither parent attended college",-9,-5,NA
"1159",4,4,5,5,"high-income","At least one parent attended college",1,-6,"yes"
"1160",3,3,5,5,"high-income","At least one parent attended college",-9,-9,NA
"1161",1,-3,1,-9,"low-income","Neither parent attended college",-6,-6,NA
"1162",4,3,5,5,"high-income","At least one parent attended college",2,-6,"no"
"1163",1,2,3,-9,"low-income","Neither parent attended college",1,1,"yes"
"1164",3,4,5,5,"high-income","At least one parent attended college",1,1,"yes"
"1165",1,3,3,-9,"low-income","At least one parent attended college",-9,-9,NA
"1166",2,1,4,4,"high-income","Neither parent attended college",-6,-6,NA
"1167",1,1,1,5,"high-income","Neither parent attended college",-6,-6,NA
"1168",1,2,5,-9,"high-income","Neither parent attended college",-9,-6,NA
"1169",3,1,3,3,"low-income","At least one parent attended college",-6,-6,NA
"1170",2,1,3,-9,"low-income","Neither parent attended college",1,-6,"yes"
"1171",4,4,5,5,"high-income","At least one parent attended college",1,1,"yes"
"1172",1,1,3,3,"low-income","Neither parent attended college",1,2,"no"
"1173",1,2,2,1,"low-income","Neither parent attended college",-6,-6,NA
"1174",3,1,2,-9,"low-income","At least one parent attended college",-6,2,"no"
"1175",1,1,2,2,"low-income","Neither parent attended college",2,2,"no"
"1176",3,3,5,5,"high-income","At least one parent attended college",2,2,"no"
"1177",1,1,3,-9,"low-income","Neither parent attended college",-9,-6,NA
"1178",1,2,1,4,"high-income","Neither parent attended college",-6,-6,NA
"1179",2,2,3,-9,"low-income","Neither parent attended college",-9,1,"yes"
"1180",2,4,3,4,"high-income","At least one parent attended college",-6,-6,NA
"1181",1,2,2,4,"high-income","Neither parent attended college",-9,1,"yes"
"1182",3,2,5,5,"high-income","At least one parent attended college",-6,-6,NA
"1183",1,3,5,-9,"high-income","At least one parent attended college",-9,-6,NA
"1184",2,1,1,1,"low-income","Neither parent attended college",-6,-6,NA
"1185",1,2,3,1,"low-income","Neither parent attended college",1,1,"yes"
"1186",4,4,5,5,"high-income","At least one parent attended college",-6,-6,NA
"1187",1,3,5,5,"high-income","At least one parent attended college",-9,2,"no"
"1188",1,1,2,2,"low-income","Neither parent attended college",-6,-6,NA
"1189",2,4,5,5,"high-income","At least one parent attended college",2,2,"no"
"1190",2,2,5,5,"high-income","Neither parent attended college",2,-6,"no"
"1191",2,1,1,1,"low-income","Neither parent attended college",-6,-6,NA
"1192",1,2,2,2,"low-income","Neither parent attended college",-6,-6,NA
"1193",3,3,3,5,"high-income","At least one parent attended college",-9,2,"no"
"1194",1,1,3,3,"low-income","Neither parent attended college",-6,-6,NA
"1195",3,3,3,5,"high-income","At least one parent attended college",-6,1,"yes"
"1196",3,2,2,2,"low-income","At least one parent attended college",-6,-6,NA
"1197",2,3,5,5,"high-income","At least one parent attended college",1,2,"no"
"1198",1,1,5,5,"high-income","Neither parent attended college",2,2,"no"
"1199",4,4,5,5,"high-income","At least one parent attended college",2,1,"no"
"1200",2,2,3,4,"high-income","Neither parent attended college",-9,1,"yes"
"1201",2,2,2,4,"high-income","Neither parent attended college",-6,-6,NA
"1202",1,-3,1,-9,"low-income","Neither parent attended college",-6,2,"no"
"1203",2,2,1,1,"low-income","Neither parent attended college",2,2,"no"
"1204",1,1,2,3,"low-income","Neither parent attended college",-6,-6,NA
"1205",2,3,3,3,"low-income","At least one parent attended college",2,-9,"no"
"1206",3,-3,5,-9,"high-income","At least one parent attended college",-6,-6,NA
"1207",3,1,1,5,"high-income","At least one parent attended college",-9,1,"yes"
"1208",2,2,4,4,"high-income","Neither parent attended college",-9,2,"no"
"1209",3,2,2,5,"high-income","At least one parent attended college",-6,-6,NA
"1210",3,3,4,3,"high-income","At least one parent attended college",-6,-6,NA
"1211",1,1,1,1,"low-income","Neither parent attended college",-6,-6,NA
"1212",2,1,1,1,"low-income","Neither parent attended college",-6,-6,NA
"1213",3,2,3,5,"high-income","At least one parent attended college",-6,-6,NA
"1214",1,2,4,4,"high-income","Neither parent attended college",1,1,"yes"
"1215",2,2,4,-9,"high-income","Neither parent attended college",-9,1,"yes"
"1216",2,2,3,-9,"low-income","Neither parent attended college",1,1,"yes"
"1217",1,2,1,3,"low-income","Neither parent attended college",-9,1,"yes"
"1218",1,2,1,4,"high-income","Neither parent attended college",-6,-6,NA
"1219",1,3,3,-9,"low-income","At least one parent attended college",1,1,"yes"
"1220",3,4,4,4,"high-income","At least one parent attended college",-9,2,"no"
"1221",2,1,1,1,"low-income","Neither parent attended college",1,2,"no"
"1222",1,1,3,4,"high-income","Neither parent attended college",2,-6,"no"
"1223",2,1,3,3,"low-income","Neither parent attended college",-9,-5,NA
"1224",3,3,1,4,"high-income","At least one parent attended college",1,-9,"yes"
"1225",1,1,1,3,"low-income","Neither parent attended college",-6,-6,NA
"1226",1,1,2,-9,"low-income","Neither parent attended college",-9,2,"no"
"1227",4,4,5,5,"high-income","At least one parent attended college",-6,-6,NA
"1228",3,3,3,5,"high-income","At least one parent attended college",-6,1,"yes"
"1229",2,2,3,3,"low-income","Neither parent attended college",-9,-9,NA
"1230",1,1,1,3,"low-income","Neither parent attended college",-6,2,"no"
"1231",2,2,5,5,"high-income","Neither parent attended college",2,2,"no"
"1232",1,3,2,2,"low-income","At least one parent attended college",-9,-9,NA
"1233",2,1,3,-9,"low-income","Neither parent attended college",-9,-6,NA
"1234",4,4,5,5,"high-income","At least one parent attended college",-6,-6,NA
"1235",4,4,5,5,"high-income","At least one parent attended college",-6,-6,NA
"1236",2,2,2,2,"low-income","Neither parent attended college",1,1,"yes"
"1237",3,-3,4,-9,"high-income","At least one parent attended college",-9,-9,NA
"1238",2,2,2,2,"low-income","Neither parent attended college",-6,1,"yes"
"1239",3,4,5,-9,"high-income","At least one parent attended college",-9,-9,NA
"1240",3,2,4,-9,"high-income","At least one parent attended college",-9,-9,NA
"1241",2,1,3,3,"low-income","Neither parent attended college",1,1,"yes"
"1242",2,1,2,3,"low-income","Neither parent attended college",-6,-6,NA
"1243",2,2,5,2,"high-income","Neither parent attended college",-9,2,"no"
"1244",1,2,1,1,"low-income","Neither parent attended college",-6,-6,NA
"1245",-9,-3,-9,-9,NA,NA,-9,-9,NA
"1246",2,2,3,3,"low-income","Neither parent attended college",2,2,"no"
"1247",1,1,3,3,"low-income","Neither parent attended college",-9,-9,NA
"1248",1,1,4,-9,"high-income","Neither parent attended college",1,1,"yes"
"1249",3,3,3,-9,"low-income","At least one parent attended college",-9,-9,NA
"1250",3,2,5,-9,"high-income","At least one parent attended college",-9,-6,NA
"1251",3,2,2,3,"low-income","At least one parent attended college",-9,-9,NA
"1252",4,3,5,5,"high-income","At least one parent attended college",2,2,"no"
"1253",3,3,5,5,"high-income","At least one parent attended college",-9,-9,NA
"1254",1,2,2,2,"low-income","Neither parent attended college",-9,-6,NA
"1255",3,3,5,5,"high-income","At least one parent attended college",-6,-5,NA
"1256",1,1,2,2,"low-income","Neither parent attended college",-9,-9,NA
"1257",1,1,1,1,"low-income","Neither parent attended college",-6,-6,NA
"1258",3,2,1,-9,"low-income","At least one parent attended college",-9,-9,NA
"1259",2,2,1,3,"low-income","Neither parent attended college",-6,-6,NA
"1260",2,2,3,3,"low-income","Neither parent attended college",-6,-6,NA
"1261",3,2,5,5,"high-income","At least one parent attended college",1,-6,"yes"
"1262",2,1,5,-9,"high-income","Neither parent attended college",-9,1,"yes"
"1263",4,4,5,5,"high-income","At least one parent attended college",-6,-6,NA
"1264",2,2,4,4,"high-income","Neither parent attended college",2,2,"no"
"1265",1,2,1,4,"high-income","Neither parent attended college",1,1,"yes"
"1266",1,3,1,5,"high-income","At least one parent attended college",-6,-6,NA
"1267",2,3,5,5,"high-income","At least one parent attended college",-9,-6,NA
"1268",1,3,1,1,"low-income","At least one parent attended college",-6,-6,NA
"1269",3,4,4,5,"high-income","At least one parent attended college",-6,-6,NA
"1270",2,1,1,-9,"low-income","Neither parent attended college",-6,-6,NA
"1271",4,4,4,4,"high-income","At least one parent attended college",2,2,"no"
"1272",3,1,2,3,"low-income","At least one parent attended college",-9,-9,NA
"1273",4,4,5,5,"high-income","At least one parent attended college",-9,-9,NA
"1274",1,1,2,1,"low-income","Neither parent attended college",2,1,"no"
"1275",1,3,5,5,"high-income","At least one parent attended college",1,-9,"yes"
"1276",1,2,2,2,"low-income","Neither parent attended college",-6,-6,NA
"1277",2,1,2,2,"low-income","Neither parent attended college",1,1,"yes"
"1278",3,3,5,5,"high-income","At least one parent attended college",-6,-6,NA
"1279",3,2,3,3,"low-income","At least one parent attended college",-9,-9,NA
"1280",2,3,4,4,"high-income","At least one parent attended college",1,2,"no"
"1281",3,3,3,-9,"low-income","At least one parent attended college",-9,-6,NA
"1282",2,3,1,3,"low-income","At least one parent attended college",-6,2,"no"
"1283",2,3,2,-9,"low-income","At least one parent attended college",-9,-9,NA
"1284",2,1,3,3,"low-income","Neither parent attended college",1,1,"yes"
"1285",1,1,3,1,"low-income","Neither parent attended college",-9,-9,NA
"1286",4,3,5,5,"high-income","At least one parent attended college",-6,-6,NA
"1287",1,2,3,1,"low-income","Neither parent attended college",-9,-9,NA
"1288",3,1,5,3,"high-income","At least one parent attended college",-6,-6,NA
"1289",1,1,1,1,"low-income","Neither parent attended college",1,1,"yes"
"1290",1,2,4,5,"high-income","Neither parent attended college",-6,2,"no"
"1291",2,3,2,2,"low-income","At least one parent attended college",-9,-9,NA
"1292",2,1,3,3,"low-income","Neither parent attended college",1,1,"yes"
"1293",3,2,3,-9,"low-income","At least one parent attended college",1,1,"yes"
"1294",1,3,4,4,"high-income","At least one parent attended college",-6,-6,NA
"1295",1,1,1,-9,"low-income","Neither parent attended college",-9,1,"yes"
"1296",3,2,4,4,"high-income","At least one parent attended college",-9,1,"yes"
"1297",3,3,5,-9,"high-income","At least one parent attended college",-9,-9,NA
"1298",2,-3,3,-9,"low-income","Neither parent attended college",-6,2,"no"
"1299",2,2,3,-9,"low-income","Neither parent attended college",1,1,"yes"
"1300",1,2,1,2,"low-income","Neither parent attended college",-6,-9,NA
"1301",3,4,5,5,"high-income","At least one parent attended college",-6,2,"no"
"1302",1,1,3,-9,"low-income","Neither parent attended college",-9,-9,NA
"1303",1,3,3,3,"low-income","At least one parent attended college",-6,2,"no"
"1304",3,1,1,2,"low-income","At least one parent attended college",-6,2,"no"
"1305",3,2,3,3,"low-income","At least one parent attended college",-6,1,"yes"
"1306",4,2,5,5,"high-income","At least one parent attended college",-9,-9,NA
